% Model,STEAM_T1_5B.mph
% Version,COMSOL 5.3.1.180
% Date,"Apr 25 2018, 11:47"
% Table,Table 5 - CvSc_avg_HT0_5Aa (CvSc_avg_HT0_5Aa)
% Time (s),CvSc_avg_HT0_5Aa (J/(m^3*K))
0,462.4935386687901
1.0E-5,6283.760538122028
2.0E-5,11077.561522469372
3.0000000000000004E-5,15517.910640080358
4.0E-5,19743.163736826256
5.0E-5,23861.304442658435
6.000000000000001E-5,27852.759051069603
7.000000000000001E-5,31728.579553878164
8.0E-5,35504.86111210038
9.0E-5,39178.615356744645
1.0E-4,42770.3777999505
1.1E-4,46297.74662424631
1.2000000000000002E-4,49770.57615410596
1.3000000000000002E-4,53193.88149603407
1.4000000000000001E-4,56570.82756237473
1.5000000000000001E-4,59904.1355318555
1.6E-4,63196.42606769727
1.7E-4,66450.1850828511
1.8E-4,69668.02439273703
1.9E-4,72851.92794774484
2.0E-4,76003.5076697753
2.1E-4,79124.29854523475
2.2E-4,82215.82665534677
2.3E-4,85279.52833762253
2.4000000000000003E-4,88316.70936223403
2.5E-4,91328.55066664187
2.6000000000000003E-4,94316.13374578975
2.7E-4,97280.4610970943
2.8000000000000003E-4,100222.46632516109
2.9E-4,103143.01893652444
3.0000000000000003E-4,106042.92874906545
3.1E-4,108922.9512440933
3.2E-4,111783.7930748832
3.3000000000000005E-4,114626.11689269693
3.4E-4,117450.54532219868
3.5000000000000005E-4,120257.66432352462
3.6E-4,123048.02618410964
3.7000000000000005E-4,125822.15224378342
3.8E-4,128580.5353663646
3.9000000000000005E-4,86260.66786121725
4.0E-4,88035.07154497561
4.1000000000000005E-4,89838.93433341326
4.2E-4,91631.52936364962
4.3000000000000004E-4,93404.67155792397
4.4E-4,95164.82056863268
4.5000000000000004E-4,96914.36379712277
4.6E-4,98654.28851950403
4.7000000000000004E-4,100385.0970619308
4.8000000000000007E-4,102107.1188404184
4.900000000000001E-4,103820.61703532966
5.0E-4,105525.82535319669
5.1E-4,107222.96097406816
5.200000000000001E-4,108912.22936693589
5.300000000000001E-4,110593.82630816239
5.4E-4,112267.93891904691
5.5E-4,113897.2883774113
5.600000000000001E-4,115289.98067682414
5.700000000000001E-4,116678.87982254349
5.8E-4,118063.9647066603
5.9E-4,119445.16305066788
6.000000000000001E-4,120822.39273145534
6.100000000000001E-4,122195.57508565696
6.2E-4,123564.63878890238
6.3E-4,124929.520604647
6.4E-4,126290.16512888944
6.500000000000001E-4,127646.5242439256
6.600000000000001E-4,128998.55651824363
6.7E-4,130346.14944631366
6.8E-4,131689.3046469371
6.900000000000001E-4,133028.03003826796
7.000000000000001E-4,134362.32116263194
7.1E-4,135692.16621116077
7.2E-4,137017.55281943057
7.300000000000001E-4,138338.47143103526
7.400000000000001E-4,139654.9160726829
7.5E-4,140966.88408535483
7.6E-4,142274.3756699539
7.700000000000001E-4,143577.39352064612
7.800000000000001E-4,144875.94256055023
7.9E-4,146170.0297382714
8.0E-4,147459.6638525597
8.100000000000001E-4,148744.85539226382
8.200000000000001E-4,150025.61638762354
8.300000000000001E-4,151301.96027210186
8.4E-4,152573.90175545771
8.500000000000001E-4,153841.45670673
8.600000000000001E-4,155104.6420468117
8.700000000000001E-4,156363.4756497825
8.8E-4,157617.97625194452
8.900000000000001E-4,158868.16336829116
9.000000000000001E-4,160114.05721541515
9.100000000000001E-4,161355.67864090516
9.2E-4,162593.04905740614
9.3E-4,163826.1903830466
9.400000000000001E-4,165055.12498536689
9.500000000000001E-4,166279.87563042113
9.600000000000001E-4,167500.46543542593
9.7E-4,168716.91782511325
