% Model,STEAM_T1_5B.mph
% Version,COMSOL 5.3.1.180
% Date,"Apr 25 2018, 12:14"
% Table,Table 5 - CvSc_avg_HT0_5Aa (CvSc_avg_HT0_5Aa)
% Time (s),CvSc_avg_HT0_5Aa (J/(m^3*K))
0,1342.0566604186947
1.0E-5,7269.156658470309
2.0E-5,12101.95138293182
3.0000000000000004E-5,16556.649954142533
4.0E-5,20790.45498717329
5.0E-5,24911.857552956568
6.000000000000001E-5,28904.756099449198
7.000000000000001E-5,32781.42705675695
8.0E-5,36558.376205640176
9.0E-5,40232.94510780875
1.0E-4,43825.605004199555
1.1E-4,47353.85989398871
1.2000000000000002E-4,50827.542585834184
1.3000000000000002E-4,54251.68587351156
1.4000000000000001E-4,57629.47677718293
1.5000000000000001E-4,60963.649959835464
1.6E-4,64256.83111864472
1.7E-4,67511.50637452069
1.8E-4,70730.2841180224
1.9E-4,73915.14633177892
2.0E-4,77067.70365667023
2.1E-4,80189.48919200047
2.2E-4,83282.02641903952
2.3E-4,86346.74898542491
2.4000000000000003E-4,89384.96022817302
2.5E-4,92397.83895665022
2.6000000000000003E-4,64491.87432514152
2.7E-4,66423.39621653315
2.8000000000000003E-4,68379.59052597251
2.9E-4,70318.80111907513
3.0000000000000003E-4,72233.29189717889
3.1E-4,74129.81787441552
3.2E-4,76011.08037667448
3.3000000000000005E-4,77878.35337906514
3.4E-4,79732.39790838773
3.5000000000000005E-4,81573.77818660434
3.6E-4,83402.97198138338
3.7000000000000005E-4,85220.41011584543
3.8E-4,87026.49150009685
3.9000000000000005E-4,88821.58961132748
4.0E-4,90606.05590203065
4.1000000000000005E-4,92380.22203133254
4.2E-4,94144.40158393662
4.3000000000000004E-4,95898.89151768658
4.4E-4,97643.97343390457
4.5000000000000004E-4,99379.91471280479
4.6E-4,101106.96953712335
4.7000000000000004E-4,102825.37981938387
4.8000000000000007E-4,104535.37604456626
4.900000000000001E-4,106237.17803784518
5.0E-4,107930.99566562046
5.1E-4,109617.02947695614
5.200000000000001E-4,111295.47129162127
5.300000000000001E-4,112966.5047401751
5.4E-4,114480.76757053567
5.5E-4,115871.88037134225
5.600000000000001E-4,117259.19402159189
5.700000000000001E-4,118642.66315711089
5.8E-4,120022.21050572256
5.9E-4,121397.75517724207
6.000000000000001E-4,122769.22158005301
6.100000000000001E-4,124136.54184071219
6.2E-4,125499.65608268917
6.3E-4,126858.51203283553
6.4E-4,128213.06444814842
6.500000000000001E-4,129563.27452285595
6.600000000000001E-4,130909.10932703795
6.7E-4,132250.46751635586
6.8E-4,133587.3563599106
6.900000000000001E-4,134919.7887853257
7.000000000000001E-4,136247.76552218193
7.1E-4,137571.2799470689
7.2E-4,138890.32461138658
7.300000000000001E-4,140204.8944811201
7.400000000000001E-4,141514.98769893576
7.5E-4,142820.6053477771
7.6E-4,144121.75103602302
7.700000000000001E-4,145418.43056463622
7.800000000000001E-4,146710.65169080556
7.9E-4,147998.4239473611
8.0E-4,149281.75848860966
8.100000000000001E-4,150560.66794869516
8.200000000000001E-4,151835.1663101326
8.300000000000001E-4,153105.26878158835
8.4E-4,154370.99168508864
8.500000000000001E-4,155632.35235217676
8.600000000000001E-4,156889.36902864746
8.700000000000001E-4,158142.0607867617
8.8E-4,159390.44744424903
8.900000000000001E-4,160634.54949032926
9.000000000000001E-4,161874.38801687377
9.100000000000001E-4,163109.984655285
9.2E-4,164341.36151830212
9.3E-4,165568.54114645885
9.400000000000001E-4,166791.54645831612
9.500000000000001E-4,168010.40070504407
9.600000000000001E-4,169225.1274280971
9.7E-4,170435.7504204492
9.800000000000002E-4,171642.2936907587
9.9E-4,172844.781430177
0.001,174043.23798185182
0.00101,175237.68781296522
0.00102,176428.15548836102
0.00103,177614.66564690825
0.0010400000000000001,178797.24297928574
0.0010500000000000002,179975.91269460047
0.0010600000000000002,181150.69946881267
0.00107,182321.6277320302
0.00108,183488.7220034638
0.00109,184652.00693123203
0.0011,185811.5071814251
0.00111,186967.24734780524
0.0011200000000000001,188119.25192579854
0.0011300000000000001,189267.545317893
0.0011400000000000002,190412.15182679257
0.0011500000000000002,191553.09566862145
0.00116,192690.400961629
0.00117,193824.09170417453
0.00118,194954.19176319786
0.00119,196080.72487415033
0.0012000000000000001,197203.7146405519
0.0012100000000000001,198323.18452843413
0.0012200000000000002,199439.15785939008
0.0012300000000000002,200551.65780524616
0.00124,201660.70738566708
0.00125,202766.3294657565
0.00126,203868.54675311188
0.00127,204967.38179451248
0.00128,206062.85697377144
0.0012900000000000001,207154.99450999327
0.0013000000000000002,208243.8164556306
0.0013100000000000002,209329.34469567615
0.0013200000000000002,210411.6009456538
0.00133,211490.6067511268
0.00134,212566.38348675065
0.00135,213638.95235550616
0.00136,214708.33438848035
0.0013700000000000001,215774.5504444758
0.0013800000000000002,216837.6212098577
0.0013900000000000002,217897.56719862
0.0014000000000000002,218954.40875232057
0.00141,220008.1660404599
0.00142,221058.8590609386
0.00143,222106.5076401949
0.00144,223151.1314339533
0.0014500000000000001,224192.74992775515
0.0014600000000000001,225231.3824376753
0.0014700000000000002,226267.04811108042
0.0014800000000000002,227299.76592737477
0.0014900000000000002,228329.55469914852
0.0015,229356.43307286734
0.00151,230380.4195297776
0.00152,231401.53238717365
0.0015300000000000001,232419.78979958818
0.0015400000000000001,233435.20975956792
0.0015500000000000002,234447.8100989409
0.0015600000000000002,235457.60849009882
0.0015700000000000002,236464.62244706086
0.00158,237468.8693269832
0.00159,238470.36633107156
0.0016,239469.1305059858
0.00161,240465.17874518174
0.0016200000000000001,241458.52779018687
0.0016300000000000002,242449.19423195467
0.0016400000000000002,243437.19451218174
0.0016500000000000002,244422.54492442272
0.0016600000000000002,245405.2616158742
0.00167,246385.36058836678
0.00168,247362.85769969705
0.00169,248337.76866557376
0.0017000000000000001,249310.10906003066
0.0017100000000000001,250279.89431755344
0.0017200000000000002,251247.13973411018
0.0017300000000000002,252211.86046858292
0.0017400000000000002,253174.07154407914
0.00175,254133.7878494381
0.00176,255091.0241402454
0.00177,256045.7950406762
0.0017800000000000001,256998.11504429867
0.0017900000000000001,257947.99851576885
0.0018000000000000002,258895.4596919439
0.0018100000000000002,259840.5126835606
0.0018200000000000002,260783.17147596832
0.0018300000000000002,261723.4499308677
0.00184,262661.3617875283
0.00185,263596.9206641485
0.00186,264530.14005858207
0.0018700000000000001,265461.0333504873
0.0018800000000000002,266389.6138018964
0.0018900000000000002,267315.89455866645
0.0019000000000000002,268239.8886518842
0.0019100000000000002,269161.60899888317
0.0019200000000000003,270081.0684044128
0.00193,270998.2795621332
0.00194,271913.2550555154
0.0019500000000000001,272826.00735893054
0.0019600000000000004,273736.5488393955
0.00197,274644.8917571322
0.00198,275551.048266945
0.00199,276455.0304193692
0.002,277356.85016181495
0.00201,278256.51933942165
0.00202,279154.04969662766
0.00203,280049.45287796645
0.00204,280942.74042891595
0.00205,281833.9237974875
0.00206,282723.01433498843
0.0020700000000000002,283610.02329691476
0.0020800000000000003,284494.9618444259
0.0020900000000000003,285377.84104494343
0.0021000000000000003,286258.6718732081
0.0021100000000000003,287137.4652126212
0.0021200000000000004,288014.231855786
0.0021300000000000004,288888.9825058494
0.00214,289761.72777720226
0.00215,290632.4781965354
0.00216,291501.2442038183
0.00217,292368.03615317115
0.00218,293232.86431372556
0.00219,294095.73887089343
0.0022,294956.66992656986
0.00221,295815.6675006579
0.00222,296672.74153180455
0.00223,297527.9018779196
0.0022400000000000002,298381.15831755975
0.0022500000000000003,299232.5205504297
0.0022600000000000003,300081.99819813075
0.0022700000000000003,300929.6008052818
0.0022800000000000003,301775.3378403213
0.0022900000000000004,302619.2186959603
0.0023000000000000004,303461.25269040046
0.00231,304301.4490677692
0.00232,305139.8169993223
0.00233,305976.3655836149
0.00234,306811.10384788876
0.00235,307644.04074833577
0.00236,308475.1851712622
0.00237,309304.5459332908
0.00238,310132.1099691542
0.00239,310957.8467900085
0.0024000000000000002,311781.744057854
0.0024100000000000002,312603.8118438056
0.0024200000000000003,313424.061852751
0.0024300000000000003,314242.5052065536
0.0024400000000000003,315059.1522778658
0.0024500000000000004,315874.0130138918
0.0024600000000000004,316687.09721585363
0.0024700000000000004,317498.41453727684
0.00248,318307.9745481363
0.00249,319115.7867562823
0.0025,319921.86059657426
0.00251,320726.2054162533
0.00252,321528.8304715936
0.00253,322329.7449306813
0.00254,323128.9578771743
0.00255,323926.47831155505
0.00256,324722.3151531783
0.0025700000000000002,325516.47723995784
0.0025800000000000003,326308.97332955874
0.0025900000000000003,327099.81210028974
0.0026000000000000003,327889.00215187116
0.0026100000000000003,328676.5520076261
0.0026200000000000004,329462.47011468734
0.0026300000000000004,330246.7648446113
0.0026400000000000004,331029.4444953859
0.00265,331810.51729124266
0.00266,332589.9913844253
0.00267,333367.8748559985
0.00268,334144.1757161325
0.00269,334918.9019057152
0.0027,335692.06129699084
0.00271,336463.6616939365
0.00272,337233.7108342493
0.0027300000000000002,338002.2163887067
0.0027400000000000002,338769.1859632079
0.0027500000000000003,339534.627098874
0.0027600000000000003,340298.54727324337
0.0027700000000000003,341060.9539008012
0.0027800000000000004,341821.8543336186
0.0027900000000000004,342581.2558626836
0.0028000000000000004,343339.165718133
0.0028100000000000004,344095.591069663
0.00282,344850.53902828903
0.00283,345604.01664644614
0.00284,346356.0309181142
0.00285,347106.58878075244
0.00286,347855.6971148196
0.00287,348603.3627452464
0.00288,349349.59244165703
0.00289,350094.39291895094
