% Model,STEAM_T1_5B.mph
% Version,COMSOL 5.3.1.180
% Date,"Apr 25 2018, 11:37"
% Table,Table 3 - Cv_avg_HT0_5Aa (Cv_avg_HT0_5Aa)
% Time (s),Cv_avg_HT0_5Aa (J/(m^3*K))
0,596.9752971827347
1.0E-5,5821.594667909038
2.0E-5,9344.985660568593
3.0000000000000004E-5,12375.437940780712
4.0E-5,15127.599631111318
5.0E-5,17719.99226145988
6.000000000000001E-5,20190.174777001404
7.000000000000001E-5,22559.286119906115
8.0E-5,24845.87469335783
9.0E-5,27053.861697171946
1.0E-4,29199.528782696016
1.1E-4,31296.097244386703
1.2000000000000002E-4,33351.36960896095
1.3000000000000002E-4,35369.779485850966
1.4000000000000001E-4,37354.33598248509
1.5000000000000001E-4,39307.54979901344
1.6E-4,41231.69478803126
1.7E-4,43128.82937233731
1.8E-4,45000.9783554139
1.9E-4,46849.71671322304
2.0E-4,48676.33745987559
2.1E-4,50482.03619935261
2.2E-4,52267.95996550773
2.3E-4,54035.16788072558
2.4000000000000003E-4,55784.61374589313
2.5E-4,57517.15439187595
2.6000000000000003E-4,59233.56835332573
2.7E-4,60934.57087468285
2.8000000000000003E-4,62620.82235125372
2.9E-4,64292.933255539065
3.0000000000000003E-4,65951.46847805772
3.1E-4,67596.95191150927
3.2E-4,69229.87087992897
3.3000000000000005E-4,70850.67997694411
3.4E-4,72459.80425403717
3.5000000000000005E-4,74057.64192393262
3.6E-4,75644.56674105661
3.7000000000000005E-4,77220.93013647568
3.8E-4,78787.0631298323
3.9000000000000005E-4,66256.97430345234
4.0E-4,67640.30117799401
4.1000000000000005E-4,69046.25480245803
4.2E-4,70443.0663042121
4.3000000000000004E-4,71824.34743664495
4.4E-4,73195.12210044509
4.5000000000000004E-4,74557.23996002742
4.6E-4,75911.46014654593
4.7000000000000004E-4,77258.16469251308
4.8000000000000007E-4,78597.6016865561
4.900000000000001E-4,79929.96834101995
5.0E-4,81255.43957755847
5.1E-4,82574.17806194637
5.200000000000001E-4,83886.33790851581
5.300000000000001E-4,85192.06621006667
5.4E-4,86491.5038074109
5.5E-4,87773.08622418625
5.600000000000001E-4,88977.03486265757
5.700000000000001E-4,90176.70229993324
5.8E-4,91372.17278709724
5.9E-4,92563.47869456993
6.000000000000001E-4,93750.63697462567
6.100000000000001E-4,94933.66125343062
6.2E-4,96112.56570131522
6.3E-4,97287.36614478636
6.4E-4,98458.08026668445
6.500000000000001E-4,99624.72751647698
6.600000000000001E-4,100787.3289392667
6.7E-4,101945.84064721831
6.8E-4,103100.31333258502
6.900000000000001E-4,104250.79978306212
7.000000000000001E-4,105397.33908467977
7.1E-4,106539.96117305238
7.2E-4,107678.69287880072
7.300000000000001E-4,108813.56100276418
7.400000000000001E-4,109944.5931510632
7.5E-4,111071.81765963804
7.6E-4,112195.26334745172
7.700000000000001E-4,113314.95933367414
7.800000000000001E-4,114430.93493287919
7.9E-4,115543.2195929724
8.0E-4,116651.84284908201
8.100000000000001E-4,117756.83428267195
8.200000000000001E-4,118858.22348330822
8.300000000000001E-4,119956.04001318876
8.4E-4,121050.31337511142
8.500000000000001E-4,122141.07298367856
8.600000000000001E-4,123228.34813965486
8.700000000000001E-4,124312.16800718455
8.8E-4,125392.56159348616
8.900000000000001E-4,126469.55773089487
9.000000000000001E-4,127543.18506091679
9.100000000000001E-4,128613.4720202868
9.2E-4,129680.44682843622
9.3E-4,130744.13747689036
9.400000000000001E-4,131804.5717196792
9.500000000000001E-4,132861.77706528176
9.600000000000001E-4,133915.78076957286
9.7E-4,134966.60982982308
9.800000000000002E-4,136014.2909797158
9.9E-4,137058.85068509605
0.001,138100.31514062604
0.00101,139138.71026693375
0.00102,140174.06170866292
0.00103,141206.39483283475
0.0010400000000000001,142235.73472791663
0.0010500000000000002,143262.1066452515
0.0010600000000000002,144285.5350617097
0.00107,145306.04395637612
0.00108,146323.65712880186
0.00109,147338.39825010698
0.0011,148350.2907755927
0.00111,149359.3578753634
0.0011200000000000001,150365.62242269967
0.0011300000000000001,151369.1070102207
0.0011400000000000002,152369.83395417847
0.0011500000000000002,153367.82531685865
0.00116,154363.10290591573
0.00117,155355.688263214
0.00118,156345.60266302282
0.00119,157332.86711989882
0.0012000000000000001,158317.50239608332
0.0012100000000000001,159299.52900397894
0.0012200000000000002,160278.9672061893
0.0012300000000000002,161255.83701782496
0.00124,162230.15821016594
0.00125,163201.95031434196
0.00126,164171.23262440358
0.00127,165138.02419956177
0.00128,166102.343867327
0.0012900000000000001,167064.2102264136
0.0013000000000000002,168023.64165002038
0.0013100000000000002,168980.65628870347
0.0013200000000000002,169935.2720733835
0.00133,170887.50671828073
0.00134,171837.3777238251
0.00135,172784.90237964157
0.00136,173730.09776761784
0.0013700000000000001,174672.98076456448
0.0013800000000000002,175613.5680452857
0.0013900000000000002,176551.87608532922
0.0014000000000000002,177487.9211639227
0.00141,178421.71936666424
0.00142,179353.28658838646
0.00143,180282.63853583738
0.00144,181209.79073051
0.0014500000000000001,182134.75851108856
0.0014600000000000001,183057.55703637208
0.0014700000000000002,183978.20128773726
0.0014800000000000002,184896.7060717665
0.0014900000000000002,185813.08602275787
0.0015,186727.35560527002
0.00151,187639.52911669816
0.00152,188549.62068948642
0.0015300000000000001,189457.6442937559
0.0015400000000000001,190363.61373963024
0.0015500000000000002,191267.54267949623
0.0015600000000000002,192169.4446104234
0.0015700000000000002,193069.33287635248
0.00158,193967.22067041634
0.00159,194863.12103704017
0.0016,195757.04687423306
0.00161,196649.0109356568
0.0016200000000000001,197539.02583266923
0.0016300000000000002,198427.10403656744
0.0016400000000000002,199313.25788049787
0.0016500000000000002,200197.4995614755
0.0016600000000000002,201079.84114237753
0.00167,201960.29455393678
0.00168,202838.87159653244
0.00169,203715.5839422309
0.0017000000000000001,204590.4431364746
0.0017100000000000001,205463.46059998008
0.0017200000000000002,206334.6476306112
0.0017300000000000002,207204.01540499233
0.0017400000000000002,208071.57498030478
0.00175,208937.33729602586
0.00176,209801.31317552621
0.00177,210663.51332781516
0.0017800000000000001,211523.94834910016
0.0017900000000000001,212382.62872439242
0.0018000000000000002,213239.56482905336
0.0018100000000000002,214094.76693041928
0.0018200000000000002,214948.24518920202
0.0018300000000000002,215800.00966105505
0.00184,216650.07029808726
0.00185,217498.4369501194
0.00186,218345.11936637308
0.0018700000000000001,219190.12719664918
0.0018800000000000002,220033.46999279136
0.0018900000000000002,220875.1572099717
0.0019000000000000002,221715.19820814428
0.0019100000000000002,222553.60225323215
0.0019200000000000003,223390.37851844387
0.00193,224225.53608561706
0.00194,225059.08394628484
0.0019500000000000001,225891.03100307236
0.0019600000000000004,226721.38607085875
0.00197,227550.15787780072
0.00198,228377.3550667395
0.00199,229202.9861962977
0.002,230027.05974174023
0.00201,230849.58409642932
0.00202,231670.56757267477
0.00203,232490.0184030208
0.00204,233307.9447409748
0.00205,234124.35466252294
0.00206,234939.2561665379
0.0020700000000000002,235752.65717643077
0.0020800000000000003,236564.565540564
0.0020900000000000003,237374.9890336668
0.0021000000000000003,238183.9353574812
0.0021100000000000003,238991.4121419582
0.0021200000000000004,239797.42694591108
0.0021300000000000004,240601.98725818255
0.00214,241405.10049835255
0.00215,242206.7740177273
0.00216,243007.01510018538
0.00217,243805.83096299705
0.00218,244603.2287577352
0.00219,245399.21557100755
0.0022,246193.79842536134
0.00221,246986.98428005865
0.00222,247778.78003178394
0.00223,248569.1925156208
0.0022400000000000002,249358.2285055136
0.0022500000000000003,250145.89471535987
0.0022600000000000003,250932.19779956216
0.0022700000000000003,251717.1443536459
0.0022800000000000003,252500.74091531892
0.0022900000000000004,253282.99396486202
0.0023000000000000004,254063.9099259542
0.00231,254843.4951663483
0.00232,255621.75599858188
0.00233,256398.69868062186
0.00234,257174.32941640264
0.00235,257948.65435672333
0.00236,258721.67959964785
0.00237,259493.4111911814
0.00238,260263.85512604978
0.00239,261037.9658730423
0.0024000000000000002,261831.50316659475
0.0024100000000000002,262623.45295091084
0.0024200000000000003,263413.81710445136
0.0024300000000000003,264202.60956855764
0.0024400000000000003,264989.8434082159
0.0024500000000000004,265775.52794244647
0.0024600000000000004,266559.67089126946
0.0024700000000000004,267342.2803067791
0.00248,268123.36496366066
0.00249,268902.93367358716
0.0025,269680.99512027064
0.00251,270457.55785260076
0.00252,271232.6303115909
0.00253,272006.2208492494
0.00254,272778.3377615512
0.00255,273548.989238195
0.00256,274318.18337841704
0.0025700000000000002,275085.9282091707
0.0025800000000000003,275852.2316888646
0.0025900000000000003,276617.10170314315
0.0026000000000000003,277380.546062279
0.0026100000000000003,278142.572501516
0.0026200000000000004,278903.1886826843
0.0026300000000000004,279662.40219571977
0.0026400000000000004,280420.2205602275
0.00265,281176.6512262654
0.00266,281931.7015746211
0.00267,282685.37891776225
0.00268,283437.6905009835
0.00269,284188.6435031549
0.0027,284938.2450379191
0.00271,285686.50215417723
0.00272,286433.42183700815
0.0027300000000000002,287179.0110085932
0.0027400000000000002,287923.27652888204
0.0027500000000000003,288666.2251964894
0.0027600000000000003,289407.8637494899
0.0027700000000000003,290148.1988660342
0.0027800000000000004,290887.2371653288
0.0027900000000000004,291624.98520817317
0.0028000000000000004,292361.4494978637
0.0028100000000000004,293096.6364807401
0.00282,293830.5525470144
0.00283,294563.2040315175
0.00284,295294.597214117
0.00285,296024.73832072655
0.00286,296753.6335237414
0.00287,297481.28894287045
0.00288,298207.710645481
0.00289,298932.9046476136
0.0029000000000000002,299656.8769142904
0.0029100000000000003,300379.6333603512
0.0029200000000000003,301101.1798508961
0.0029300000000000003,301821.52220193215
0.0029400000000000003,302540.6661809885
0.0029500000000000004,303258.6175076718
0.0029600000000000004,303975.3818542216
0.0029700000000000004,304690.9648460884
0.0029800000000000004,305405.37206246983
0.00299,306118.6090368463
0.003,306830.6812575558
0.00301,307541.59416820545
0.00302,308251.35316833336
0.00303,308959.9636138599
0.00304,309667.4308175461
0.00305,310373.7600495483
0.0030600000000000002,311078.95653785527
0.0030700000000000002,311783.02546882513
0.0030800000000000003,312485.9719875581
0.0030900000000000003,313187.8011985781
0.0031000000000000003,313888.5181659853
0.0031100000000000004,314588.1279140993
0.0031200000000000004,315286.63542800356
0.0031300000000000004,315984.0456536452
0.0031400000000000004,316680.36349862523
0.0031500000000000005,317375.593832409
0.00316,318069.7414868735
0.00317,318762.8112565719
0.00318,319454.8078993619
0.00319,320145.7361364983
0.0032,320835.6006534112
0.00321,321524.40609972825
0.00322,322212.15708989184
0.0032300000000000002,322898.85820350354
0.0032400000000000003,323584.51398563024
0.0032500000000000003,324269.1289472697
0.0032600000000000003,324952.7075655696
0.0032700000000000003,325635.25428439036
0.0032800000000000004,326316.7735144202
0.0032900000000000004,326997.26963376533
0.0033000000000000004,327676.74698815966
0.0033100000000000004,328355.2098912591
0.0033200000000000005,329032.66262511624
0.00333,329709.1094404499
0.00334,330384.5545569002
0.00335,331059.0021634875
0.00336,331732.45641871594
0.00337,332404.92145127297
0.00338,333076.40135988244
0.0033900000000000002,333746.90021389886
0.0034000000000000002,334416.4220535194
0.0034100000000000003,335084.9708900923
0.0034200000000000003,335752.5507064084
0.0034300000000000003,336419.16545707063
0.0034400000000000003,337084.81906853244
0.0034500000000000004,337749.51543971285
0.0034600000000000004,338413.2584420535
0.0034700000000000004,339076.05191981135
0.0034800000000000005,339737.89969043195
0.0034900000000000005,340398.80554470804
0.0035,341058.77324714564
0.00351,341717.8065360471
0.00352,342375.9091240837
0.00353,343033.08469820325
0.00354,343689.3369200992
0.00355,344344.66942633345
0.0035600000000000002,344999.0858287277
0.0035700000000000003,345652.58971443836
0.0035800000000000003,346305.18464636256
0.0035900000000000003,346956.87416318204
0.0036000000000000003,347607.66177976696
0.0036100000000000004,348257.55098731344
0.0036200000000000004,348906.54525362555
0.0036300000000000004,349554.6480232418
0.0036400000000000004,350201.86271784105
0.0036500000000000005,350848.1927361839
0.0036600000000000005,351493.6414545985
0.00367,352138.2122270612
0.00368,352781.90838540863
0.00369,353424.73323959426
0.0037,354066.6900777873
0.00371,354707.7821667596
0.00372,355348.01275192335
0.0037300000000000002,355987.38505754067
0.0037400000000000003,356625.90228705446
0.0037500000000000003,357263.56762314
