Time (s),T_avg_HT0_5Aa (K)
0,2.727181916
1.00E-05,6.507568685
2.00E-05,7.86128622
3.00E-05,8.796096137
4.00E-05,9.531277942
5.00E-05,10.15259228
6.00E-05,10.68976831
7.00E-05,11.16423823
8.00E-05,11.59065977
9.00E-05,11.97738233
1.00E-04,12.3327496
1.10E-04,12.66287062
1.20E-04,12.97188554
1.30E-04,13.26272543
1.40E-04,13.53764316
1.50E-04,13.79847699
1.60E-04,14.04676741
1.70E-04,14.2838172
1.80E-04,14.51075636
1.90E-04,14.72852428
2.00E-04,14.9379189
2.10E-04,15.13963864
2.20E-04,15.33430255
2.30E-04,15.52245758
2.40E-04,15.7045867
2.50E-04,15.88111804
2.60E-04,16.05243358
2.70E-04,16.21887619
2.80E-04,16.38075496
2.90E-04,16.53834947
3.00E-04,16.69191341
3.10E-04,16.84167769
3.20E-04,16.98785319
3.30E-04,17.13063304
3.40E-04,17.27019459
3.50E-04,17.40670116
3.60E-04,17.54030344
3.70E-04,17.67114084
3.80E-04,17.79934257
3.90E-04,17.93772885
4.00E-04,18.08504609
4.10E-04,18.23263161
4.20E-04,18.37719606
4.30E-04,18.51820334
4.40E-04,18.65628642
4.50E-04,18.79173082
4.60E-04,18.92470055
4.70E-04,19.05531454
4.80E-04,19.18367276
4.90E-04,19.30986517
5.00E-04,19.43397508
5.10E-04,19.55608053
5.20E-04,19.67625496
5.30E-04,19.79456764
5.40E-04,19.91108406
5.50E-04,20.02587628
5.60E-04,20.13906605
5.70E-04,20.25072489
5.80E-04,20.36090617
5.90E-04,20.46965591
6.00E-04,20.57701645
6.10E-04,20.68302777
6.20E-04,20.78772798
6.30E-04,20.89115357
6.40E-04,20.99333947
6.50E-04,21.09431923
6.60E-04,21.19412502
6.70E-04,21.29278215
6.80E-04,21.39032272
6.90E-04,21.4867777
7.00E-04,21.58217569
7.10E-04,21.67654341
7.20E-04,21.76990624
7.30E-04,21.86228863
7.40E-04,21.95371412
7.50E-04,22.04420545
7.60E-04,22.13378456
7.70E-04,22.22247262
7.80E-04,22.31029007
7.90E-04,22.39725663
8.00E-04,22.48339136
8.10E-04,22.56871269
8.20E-04,22.6532384
8.30E-04,22.73698572
8.40E-04,22.81997131
8.50E-04,22.90221128
8.60E-04,22.98372124
8.70E-04,23.0645163
8.80E-04,23.14461109
8.90E-04,23.22401981
9.00E-04,23.3027562
9.10E-04,23.3808336
9.20E-04,23.45826495
9.30E-04,23.53506278
9.40E-04,23.61123928
9.50E-04,23.68680628
9.60E-04,23.76177526
9.70E-04,23.83615737
9.80E-04,23.90996346
9.90E-04,23.98320405
0.001,24.05588939
0.00101,24.12802944
0.00102,24.19963388
0.00103,24.27071215
0.00104,24.34127341
0.00105,24.41132663
0.00106,24.4808805
0.00107,24.54994346
0.00108,24.61852375
0.00109,24.6866294
0.0011,24.75426827
0.00111,24.82144797
0.00112,24.88817595
0.00113,24.95445949
0.00114,25.02030564
0.00115,25.08572134
0.00116,25.15071331
0.00117,25.21528815
0.00118,25.27945227
0.00119,25.34321194
0.0012,25.4065733
0.00121,25.46954233
0.00122,25.53212488
0.00123,25.59432665
0.00124,25.65615324
0.00125,25.71761009
0.00126,25.77870255
0.00127,25.83943583
0.00128,25.89981504
0.00129,25.95984517
0.0013,26.0195311
0.00131,26.07887762
0.00132,26.13788939
0.00133,26.196571
0.00134,26.25492692
0.00135,26.31296156
0.00136,26.3706792
0.00137,26.42808405
0.00138,26.48518023
0.00139,26.5419718
0.0014,26.59846269
0.00141,26.6546568
